"time","S","R","P","S2","R2","B","OD","OD_noised","u_S","u_R","k","a_S","b","q0","m","v","u_S2","u_R2","k2","x","v2","S_init","R_init","P_init","S2_init","R2_init"
930,-1.45911380255034e-11,231261842.487491,11360434677.4592,-7.17379345532698e-27,2.32659817448027e-16,231261842.487491,0.232,0.232,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
945,9.74431998886511e-12,283654513.189854,11360434677.4592,3.86217939202642e-27,2.67088291266794e-16,283654513.189854,0.285,0.284,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
960,-4.56803304771885e-12,340585628.457992,11360434677.4592,-1.47367588232758e-27,3.0727776766732e-16,340585628.457992,0.342,0.342,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
975,4.05078070805171e-12,400527954.46098,11360434677.4592,4.44236126748459e-28,3.8722054393161e-15,400527954.46098,0.402,0.401,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
990,3.73873692651614e-13,461746532.539808,11360434677.4592,-1.68762692056856e-27,4.20229448771255e-12,461746532.539808,0.463,0.463,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1005,-3.30001302029513e-12,522489743.942251,11360434677.4592,2.40075953287664e-28,2.03929982852957e-09,522489743.942251,0.523,0.556,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1020,-2.79718885994335e-13,581166401.096305,11360434677.4592,-4.5398484034554e-27,4.41071215310753e-07,581166401.096305,0.582,0.583,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1035,3.39729297595912e-13,636476381.945033,11360434677.4592,1.6310704992128e-25,3.7689945833106e-05,636476381.945071,0.637,0.673,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1050,2.02799046844516e-14,687479205.485514,11360434677.4592,5.58191014253219e-26,0.00207829704736526,687479205.487593,0.688,0.689,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1065,4.61503393280368e-17,733603534.052327,11360434677.4592,2.48404810491278e-27,0.0673351954712161,733603534.119662,0.735,0.734,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1080,3.24781397765964e-20,774612775.781175,11360434677.4592,3.20205607235619e-28,1.2861912810565,774612777.067366,0.776,0.775,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1095,-1.04195872239637e-18,810542612.955844,11360434677.4592,2.37321461826619e-26,15.5440791454176,810542628.499923,0.812,0.812,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1110,-1.03235269259126e-15,841629241.886653,11360434677.4592,1.67820125922352e-22,127.190538004731,841629369.077191,0.843,0.843,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1125,8.90180664004473e-15,868240514.20842,11360434677.4592,-1.00700242913672e-20,748.501148541089,868241262.709568,0.869,0.869,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1140,2.59712096552676e-13,890817306.599225,11360434677.4592,-1.01732135051553e-18,3339.6063860677,890820646.205611,0.892,0.891,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1155,1.73086830977347e-11,909828033.96248,11360434677.4592,-5.37836266966222e-17,11822.9199085458,909839856.882388,0.911,0.91,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1170,-3.32264143622741e-10,925736219.697435,11360434677.4592,9.62548825792937e-15,34525.1668326685,925770744.864267,0.927,0.927,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
